date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:26	343/343	---M--	200	added ('OK')	text/plain	etag:%221590a5e-157-4d7cdb7842180%22	http://www.carquefou-football.com/robots.txt		(from )
17:12:26	33991/33991	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:25%20GMT	http://www.carquefou-football.com/	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/index.html	(from )
17:12:26	5708/5708	---MC-	200	added ('OK')	application/rss+xml	date:Tue,%2031%20Jan%202017%2016:12:26%20GMT	http://www.carquefou-football.com/index.php?format=feed&type=rss	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/indexc0d0.php	(from http://www.carquefou-football.com/)
17:12:27	10981/10981	---MC-	200	added ('OK')	application/atom+xml	date:Tue,%2031%20Jan%202017%2016:12:27%20GMT	http://www.carquefou-football.com/index.php?format=feed&type=atom	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/index7b17.php	(from http://www.carquefou-football.com/)
17:12:28	29163/29163	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:27%20GMT	http://www.carquefou-football.com/devenir-partenaire.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/devenir-partenaire.html	(from http://www.carquefou-football.com/)
17:12:30	31146/31146	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:28%20GMT	http://www.carquefou-football.com/contact.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/contact.html	(from http://www.carquefou-football.com/)
17:12:30	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:12:29%20GMT	http://www.carquefou-football.com/component/jce/?view=popup&tmpl=component	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/jce/indexca5e.html	(from http://www.carquefou-football.com/)
17:12:31	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:12:30%20GMT	http://www.carquefou-football.com/component/banners/click/16.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/16.html	(from http://www.carquefou-football.com/)
17:12:33	30530/30530	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:30%20GMT	http://www.carquefou-football.com/le-club/actualites/1375-ag2016retour.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites/1375-ag2016retour.html	(from http://www.carquefou-football.com/)
17:12:36	29314/29314	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:31%20GMT	http://www.carquefou-football.com/le-club/actualites/1379-voeux2017.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites/1379-voeux2017.html	(from http://www.carquefou-football.com/)
17:12:36	67406/67406	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:29%20GMT	http://www.carquefou-football.com/la-boutique.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/la-boutique.html	(from http://www.carquefou-football.com/)
17:12:36	30333/30333	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:32%20GMT	http://www.carquefou-football.com/le-club/actualites/1377-bureau20162017.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites/1377-bureau20162017.html	(from http://www.carquefou-football.com/)
17:12:37	30100/30100	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:34%20GMT	http://www.carquefou-football.com/le-club/actualites/1371-ag2016.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites/1371-ag2016.html	(from http://www.carquefou-football.com/)
17:12:38	29751/29751	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:36%20GMT	http://www.carquefou-football.com/le-club/actualites/1373-gambardellafctours.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites/1373-gambardellafctours.html	(from http://www.carquefou-football.com/)
17:12:38	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:12:37%20GMT	http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.html	(from http://www.carquefou-football.com/)
17:12:39	30246/30246	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:37%20GMT	http://www.carquefou-football.com/le-club/actualites/1365-info-feuille-de-match.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites/1365-info-feuille-de-match.html	(from http://www.carquefou-football.com/)
17:12:43	49518/49518	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:39%20GMT	http://www.carquefou-football.com/le-club/actualites.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/actualites.html	(from http://www.carquefou-football.com/)
17:12:44	32519/32519	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:41%20GMT	http://www.carquefou-football.com/le-club/le-mot-des-presidents.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/le-mot-des-presidents.html	(from http://www.carquefou-football.com/)
17:12:45	43206/43206	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:40%20GMT	http://www.carquefou-football.com/le-club/presentation.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/presentation.html	(from http://www.carquefou-football.com/)
17:12:45	29403/29403	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:42%20GMT	http://www.carquefou-football.com/le-club/organigramme-sportif.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/organigramme-sportif.html	(from http://www.carquefou-football.com/)
17:12:48	45481/45481	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:43%20GMT	http://www.carquefou-football.com/le-club/conseil-dadministration.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/conseil-dadministration.html	(from http://www.carquefou-football.com/)
17:12:51	33105/33105	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:46%20GMT	http://www.carquefou-football.com/le-club/reglement-interieur.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/reglement-interieur.html	(from http://www.carquefou-football.com/)
17:12:53	67968/67968	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:45%20GMT	http://www.carquefou-football.com/le-club/les-arbitres.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/les-arbitres.html	(from http://www.carquefou-football.com/)
17:12:53	47689/47689	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:47%20GMT	http://www.carquefou-football.com/le-club/charte-educateur.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/charte-educateur.html	(from http://www.carquefou-football.com/)
17:12:54	31358/31358	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:49%20GMT	http://www.carquefou-football.com/le-club/charte-joueur.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/charte-joueur.html	(from http://www.carquefou-football.com/)
17:12:55	32397/32397	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:52%20GMT	http://www.carquefou-football.com/le-club/charte-parents.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/le-club/charte-parents.html	(from http://www.carquefou-football.com/)
17:12:58	31340/31340	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:12:54%20GMT	http://www.carquefou-football.com/division-regionale-superieure/mot-de-lentraineur.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/division-regionale-superieure/mot-de-lentraineur.html	(from http://www.carquefou-football.com/)
